Switch_traffic_lights 红绿灯增删
Add_priority_signs 添加路口优先权
Manual_traffic_lights 手动控制红绿灯
Timed_traffic_lights 红绿灯定时设置
Change_lane_arrows 变更车道行驶方向
Clear_Traffic 清除所有车辆 
Disable_despawning 禁止车辆消失
Enable_despawning 允许车辆消失
NODE_IS_LIGHT 道路路口有红绿灯。\n请选择“红绿灯增删”，并点选该道路路口来删除信号灯。
NODE_IS_TIMED_LIGHT 道路路口有自制信号灯程序，\n请选择“红绿灯定时设置”，再点选该道路路口并点选「删除」以删除设定。
Select_nodes_windowTitle 请选择道路路口
Select_nodes 请选择道路路口
Node 道路路口
Deselect_all_nodes 取消选择所选道路路口
Setup_timed_traffic_light 设置红绿灯定时
State 状态
Skip 跳过
up 往上
down 往下
View 视图
Edit 编辑
Delete 删除
Timed_traffic_lights_manager 红绿灯定时设置工具
Add_step 添加定时
Remove_timed_traffic_light 删除红绿灯定时设置
Min._Time: 最短时间(秒)
Max._Time: 最长时间(秒)
Save 保存
Add 添加
Sensitivity 灵敏度
Very_Low 非常低
Low 低
Medium 中
High 高 
Very_high 非常高
Extreme_long_green/red_phases 最长的红绿灯时间
Very_long_green/red_phases 非常长的红绿灯时间
Long_green/red_phases 较长的红绿灯时间
Moderate_green/red_phases 适当的红绿灯时间
Short_green/red_phases 较短的红绿灯时间
Very_short_green/red_phases 非常短的红绿灯时间
Extreme_short_green/red_phases 最短的红绿灯时间
Hide_counters 隐藏计数器
Show_counters 显示计数器
Start 启动
Stop 停止
Enable_test_mode_(stay_in_current_step) 启用测试模式（保持当前步骤）
avg._flow 平均流量
avg._wait 平均等待
min/max 最短/最长
Lane 车道
Set_Speed 设定限速 {0}
Max_speed 最高限速
Segment 路段
incoming 进入
Enable_Advanced_Vehicle_AI 启用加强版车辆AI
Vehicles_may_enter_blocked_junctions 堵车时车辆可以进入路口加塞
All_vehicles_may_ignore_lane_arrows 所有车辆可忽略车道行驶方向
Busses_may_ignore_lane_arrows 公交车可忽略车道行驶方向
Reckless_driving 违规驾驶（功能测试中）
TMPE_Title 交通管理:总统版(贴吧简体中文翻译）
Settings_are_defined_for_each_savegame_separately 贴吧简体中文温馨提示: 设置项目自动跳出关闭就好，MOD设置说明文档地址：
Simulation_accuracy 模拟真实度（高真实模拟会影响性能）
Enable_highway_specific_lane_merging/splitting_rules 实行高速公路特定的车道合流/分离规则
Drivers_want_to_change_lanes_(only_applied_if_Advanced_AI_is_enabled): 司机习惯变换车道（仅适用于加强版AI启动时)
Maintenance 错误修复
Very_often 很频繁
Often 经常
Sometimes 偶尔
Rarely 很少
Very_rarely 极少
Only_if_necessary 仅在必要时候  
Nodes_and_segments 路口和道路的显示
Lanes 车道  
Path_Of_Evil_(10_%) 无视法纪 (10 %)
Rush_Hour_(5_%) 鲁莽驾驶 (5 %)
Minor_Complaints_(2_%) 稍有违法 (2 %)
Holy_City_(0_%) 遵纪守法 (0 %)
Forget_toggled_traffic_lights 重置所有红绿灯设置  
Road_is_already_in_a_group! 道路已经在连锁群组中
All_selected_roads_must_be_of_the_same_type! 所有选中的道路必须是同一类型的
Create_group 创建连锁群组
Delete_group 删除连锁群组
Add_zoning 添加分区
Remove_zoning 删除分区
Lane_Arrow_Changer_Disabled 因为使用了高速道路规则系统，所以不能改变这条车道的箭头。
Add_junction_to_timed_light 添加一路口纳入定时
Remove_junction_from_timed_light 删除一路口定时连锁
Select_junction 选择一道路路口
Cancel 取消
Speed_limits 道路限速设置
Persistently_visible_overlays 持续可见覆盖
Priority_signs 优先通行权标志  
